requested_chemsys,requested_family,matched_query_chemsys,retrieval_mode,material_id,formula_pretty,chemsys,requested_overlap_score,candidate_family,family_plausible,family_matches_request,accepted_for_request,is_cobalt_near_miss,near_miss_reason,near_miss_bucket,rejection_reason,n_elements,density,energy_above_hull,band_gap,is_stable,theoretical
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-570863,CrCoPt2,Co-Cr-Pt,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,14.905523811951243,0.036714289166669,0.0,False,False
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1095673,CrCoSi,Co-Cr-Si,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,6.632981252480177,0.079814976388888,0.0,False,False
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1226249,CrCoSi2,Co-Cr-Si,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,5.963884693546936,0.076374101375,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-567981,CrGaCo2,Co-Cr-Ga,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,8.478266107383357,0.021576596250000003,0.0,False,False
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-16735,CrInCo2,Co-Cr-In,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,8.848960815969404,0.20305812041666702,0.0,False,False
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1195916,Ho2Cr2Co15,Co-Cr-Ho,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,9.148514111185985,0.028647304760764002,0.0,False,False
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1028407,Mg14CrCo,Co-Cr-Mg,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,2.17291184753192,0.1740903453125,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1028410,Mg14CrCo,Co-Cr-Mg,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,2.291590636635879,0.2233803859375,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1022048,Mg6CrCo,Co-Cr-Mg,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,2.806243785551762,0.27336216750000003,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1022092,Mg6CrCo,Co-Cr-Mg,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,2.930045781200759,0.30688853312500003,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-864955,Mn2CrCo,Co-Cr-Mn,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,3,7.194338315763557,0.0,0.0,True,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1222067,Mn4Cr(Co2Ge)5,Co-Cr-Ge-Mn,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,4,8.639463137973326,0.0,0.0,True,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1221846,Mn4Cr(Co2Si)5,Co-Cr-Mn-Si,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,4,7.411075613714209,0.0024708201666660003,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1221808,Mn4Cr(Co2Sn)5,Co-Cr-Mn-Sn,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,4,8.991917489873286,0.013825872333334,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+Cr,fallback_cobalt_pair_window,mp-1222191,Mn4Cr(GaCo2)5,Co-Cr-Ga-Mn,2,Co-based high-temperature candidate,True,True,False,False,,,Pair-window candidate does not preserve the requested distinguishing element.,4,8.590914798695612,0.007042455499997001,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1229047,AlCoW,Al-Co-W,2,Co-based high-temperature candidate,True,True,False,True,close cobalt pair neighbor,cobalt_pair_near_miss,Pair-window candidate does not restore the missing requested anchor element.,3,11.395907552750312,0.191225948333336,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-631696,Ca2CoW,Ca-Co-W,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,6.8108006115358055,1.029828753333333,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1226107,CoSiW,Co-Si-W,2,Co-based high-temperature candidate,True,True,False,True,close cobalt pair neighbor,cobalt_pair_near_miss,Returned candidate contains non-target chemistry for this broader recovery step.,3,12.090400257945907,0.102764804999999,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1192784,Hf9CoW4,Co-Hf-W,2,Co-based high-temperature candidate,True,True,False,True,close cobalt pair neighbor,cobalt_pair_near_miss,Pair-window candidate does not restore the missing requested anchor element.,3,14.564454947155744,0.010175165714279,0.0,False,False
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1028395,Mg14CoW,Co-Mg-W,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,2.9997249026910273,0.21422173708333303,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1028398,Mg14CoW,Co-Mg-W,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,3.004285369936726,0.21660868187499902,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1022044,Mg6CoW,Co-Mg-W,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,4.433580097163453,0.380217356041667,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1022059,Mg6CoW,Co-Mg-W,2,Co-based high-temperature candidate,True,True,False,False,,,Returned candidate contains non-target chemistry for this broader recovery step.,3,4.323174724098249,0.314360693541667,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-631428,TlCoW,Co-Tl-W,2,Co-based high-temperature candidate,True,True,False,True,close cobalt pair neighbor,cobalt_pair_near_miss,Pair-window candidate does not restore the missing requested anchor element.,3,12.436347572848856,1.413196156666671,0.0,False,True
Co-Cr-W,Co-based high-temperature candidate,Co+W,fallback_cobalt_pair_window,mp-1216765,V2Co9W,Co-V-W,2,Co-based high-temperature candidate,True,True,False,True,close cobalt pair neighbor,cobalt_pair_near_miss,Pair-window candidate does not restore the missing requested anchor element.,3,10.229867362177858,0.007859493055551,0.0,False,True
