alloy_id,canonical_name,aliases,family,analogue_recipe_class,evidence_class,source_priority,spec_ids,nominal_composition_text,composition_elements,composition_vector_json,base_element,major_additions,product_forms,route_tags,am_supported,preferred_recipe_template,heat_treatment_summary,joining_fabrication_notes,operating_temperature_band,application_notes,known_watch_outs,match_guardrails,provenance_note,source_url_or_ref
ti_beta_c,ATI 38-644 beta titanium alloy,Beta C; Ti-3Al-8V-6Cr-4Mo-4Zr,Ti-based,named_analogue,manufacturer,1,UNS R58640,"Ti balance, Al 3, V 8, Cr 6, Mo 4, Zr 4",Ti;Al;V;Cr;Mo;Zr,"{""Ti"": ""balance"", ""Al"": ""3"", ""V"": ""8"", ""Cr"": ""6"", ""Mo"": ""4"", ""Zr"": ""4""}",Ti,Al;V;Cr;Mo;Zr,bar; billet; springs; high-strength parts,wrought; solution_treat; age_harden,limited,ti_am_or_wrought_stress_relief,Metastable beta titanium alloy; strong solution-treated-and-aged route logic with attention to spring-back and machining behavior.,ATI highlights exceptional ductility in the solution-treated condition and high strength after STA processing.,High-strength beta titanium analogue rather than a hot-section high-temperature alloy; use where high strength and lower modulus are valued.,"High-strength springs, structural components and specialized aerospace hardware needing beta titanium behavior.",Do not use as a generic Ti64 replacement; beta alloy processing and spring-back behavior are different.,"Prefer for Ti candidates with strong beta stabilizer signatures (V/Cr/Mo/Zr), not for classic Ti64-style alpha-beta compositions.",ATI datasheet,https://www.atimaterials.com/Products/Documents/datasheets/titanium/alloyed/ati_38-644_tds_en_v1.pdf
ti_6242,ATI 6-2-4-2 titanium alloy,Ti-6-2-4-2; Ti6242,Ti-based,named_analogue,manufacturer,1,ATI 6-2-4-2; AMIL T-9047G,"Ti balance, Al about 6, Sn about 2, Zr about 4, Mo about 2, Si minor",Ti;Al;Sn;Zr;Mo;Si,"{""Ti"": ""balance"", ""Al"": ""~6"", ""Sn"": ""~2"", ""Zr"": ""~4"", ""Mo"": ""~2"", ""Si"": ""minor""}",Ti,Al;Sn;Zr;Mo,bar; billet; forgings; compressor hardware,wrought; forging; heat_treat,limited,ti_am_or_wrought_stress_relief,Stress-relief annealing from about 900-1300F is noted by ATI; use intermediate-temperature alpha-beta titanium heat-treatment logic.,Intermediate-temperature Ti alloy analogue suited to forged compressor hardware rather than the hottest Ni/Co hot-section parts.,ATI positions 6-2-4-2 as an intermediate-temperature titanium alloy with density about 4.54 g/cc and beta transus near 1825F.,"Compressor discs, rings and other elevated-temperature lightweight aerospace hardware.",Not a Ni/Co hot-section analogue; treat as a higher-temperature Ti route with oxidation and process control discipline.,Use when lightweight intermediate-temperature performance matters; do not use for 850-1000C Ni/Co creep-led prompts.,ATI datasheet,https://www.atimaterials.com/Products/Documents/datasheets/titanium/alloyed/ati_6-2-4-2_tds_en_v1.pdf
ti_6246,Ti-6-2-4-6 titanium alloy,Ti6246; Ti-6Al-2Sn-4Zr-6Mo,Ti-based,named_analogue,manufacturer,1,UNS R56260,"Ti balance, Al 5.5-6.5, Sn 1.75-2.25, Zr 3.5-4.5, Mo 5.5-6.5",Ti;Al;Sn;Zr;Mo,"{""Ti"": ""balance"", ""Al"": ""5.5-6.5"", ""Sn"": ""1.75-2.25"", ""Zr"": ""3.5-4.5"", ""Mo"": ""5.5-6.5""}",Ti,Al;Sn;Zr;Mo,bar; billet; compressor discs; impellers,wrought; forging; heat_treat,limited,ti_am_or_wrought_stress_relief,Near-beta titanium alloy; use solution/age or forged alpha-beta route logic rather than Ti64-only assumptions.,Better treated as a high-strength intermediate-temperature forged titanium analogue for compressor and disc hardware.,Official sources position Ti6246 as a high-strength intermediate-temperature near-beta titanium alloy for compressor discs and impellers.,"Impellers, compressor discs and other high-strength aerospace rotating hardware.",Higher density and more demanding processing than Ti64; still not a true Ni/Co hot-section analogue.,Use when Ti family and high-strength intermediate-temperature service fit; do not force-match to Ti64 if Mo-rich near-beta behavior matters.,ATI product page + Aubert & Duval datasheet,https://www.atimaterials.com/Products/Pages/ati-6-2-4-6.aspx; https://www.aubertduval.com/wp-content/uploads/2024/12/Ti6246_GB.pdf
ti_ti64_g23,Ti-6Al-4V ELI Grade 23,Ti64 ELI; Grade 23,Ti-based,named_analogue,manufacturer+am,1,AMS 4930; AMS 4931; AMS 4996; ASTM F136; ASTM F3001; ASTM F3302,"Ti-6Al-4V ELI class; same Ti/Al/V family as Ti64 with lower oxygen, carbon and iron than standard Grade 5",Ti;Al;V;Fe;O;C,"{""Ti"": ""balance"", ""Al"": ""Ti-6Al-4V class"", ""V"": ""Ti-6Al-4V class"", ""interstitials"": ""ELI / lower O,C,Fe than Grade 5""}",Ti,Al;V,bar; wire; billet; rings; powder,wrought; forging; heat_treat; LPBF/DMLS; HIP,yes,ti_eli_am_or_wrought_hip_ready,"Normally used annealed in ATI sheet: anneal 1300-1350F for 1-8 h, air cool; stress relieve 900-1200F for 1-4 h. EOS Grade 23 positioning supports HIP-centric AM users.",Higher-purity Ti64 variant with better formability and weld toughness than standard Grade 5; inert-gas protection is needed in fusion welding.,Preferred for some cryogenic and aerospace uses; EOS Grade 23 positioning supports additive workflows where HIP is a standard post-treatment.,Cryogenic-capable aerospace components; high-toughness Ti64 ELI use cases; medical and marine/cryogenic overlap exists in source literature.,Keep recipe claims cautious unless route/source is explicitly Grade 23-backed; preserve low-interstitial processing discipline.,Do not force-match to standard Grade 5 if toughness / low-interstitial behavior is the real reason the candidate is attractive; keep ELI as a distinct analogue.,ATI Grade 23 sheet + EOS Grade 23 AM sheet,https://www.atimaterials.com/Products/Documents/datasheets/titanium/alloyed/ati_6-4eli_tds_en_v1.pdf; https://www.eos.info/03_system-related-assets/material-related-contents/metal-materials-and-examples/metal-material-datasheet/titan/ti64/material_datasheet_eos_titanium_ti64_grade23_premium_en_web.pdf
ti_ti64_g5,Ti-6Al-4V Grade 5,Ti64 G5; Ti64 Grade 5,Ti-based,named_analogue,manufacturer+am,1,UNS R56400; AMS 4928; AMS 4965; AMS 4967; ASTM B348; ASTM F1472; ASTM F2924; ASTM F3302,"Ti balance, Al 5.5-6.75, V 3.5-4.5 (Grade 5 Ti6Al4V chemistry class)",Ti;Al;V;Fe;O,"{""Ti"": ""balance"", ""Al"": ""5.5-6.75"", ""V"": ""3.5-4.5"", ""Fe"": ""0-0.3"", ""O"": ""0-0.2""}",Ti,Al;V,bars; forgings; forging stock; powder,wrought; forging; heat_treat; LPBF/DMLS,yes,ti_am_or_wrought_stress_relief,"Anneal 1275-1400F for 0.5-2 h; stress relieve 1000-1200F for 1-8 h; solution treat 1675-1750F for 1 h, water quench; age 975-1025F for 4-8 h. EOS recommends heat treatment to reduce internal stresses and increase ductility.","Most widely used titanium grade; AM parts can be machined, shot-peened and polished; forging and wrought routes are standard.",Used from cryogenic temperatures to about 800F / 427C in the ATI sheet; lightweight aerospace structural alloy.,"Compressor blades, discs and rings; airframe components; pressure vessels; rocket engine cases; rotor hubs; fasteners.",AM parts are anisotropic and generally need stress-relief / post-treatment; control oxygen/nitrogen/hydrogen pickup during processing.,Do not use for Ni/Co hot-section analogues just because high strength is needed; this is a lightweight Ti structural analogue.,ATI wrought data sheet + EOS AM data sheet,https://www.atimaterials.com/Products/Documents/datasheets/titanium/alloyed/ati_6-4_tds_en_v1.pdf; https://www.eos.info/metal-solutions/metal-materials/data-sheets/mds-eos-titanium-ti64-grade-5
co_h188,HAYNES 188 alloy,188; Haynes 188,Co-based,named_analogue,manufacturer,1,UNS R30188; AMS 5608,"Co balance, Ni 22, Cr 22, W 14, Fe max 3, La 0.03",Co;Ni;Cr;W;Fe;La,"{""Co"": ""balance"", ""Ni"": ""22"", ""Cr"": ""22"", ""W"": ""14"", ""Fe"": ""0-3"", ""La"": ""0.03""}",Co,Ni;Cr;W,sheet; plate; fabricated hot-section components,wrought; forming; welding; solution_heat_treat,no,co_wrought_solution_annealed,Usually furnished solution heat treated; normally 2125-2175F and rapidly cooled or water quenched for optimal properties.,Readily fabricated and formed by conventional techniques; good forming and welding characteristics are highlighted by Haynes.,Very good oxidation resistance for prolonged exposures up to 2000F / 1095C is highlighted in the brochure.,Combustion cans; transition ducts; afterburner components; other aerospace gas-turbine hot-section fabrications.,High Co/W burden will likely worsen sustainability and supply-risk scores; use conventional-fabrication route logic unless trusted AM evidence is added later.,Do not use as a Ni-superalloy analogue just because Ni is present; keep Co-dominant chemistry as the decisive family cue.,Haynes brochure,https://haynesintl.com/wp-content/uploads/2024/08/188-brochure.pdf
co_h25,HAYNES 25 alloy,L605; Haynes 25; HS25,Co-based,named_analogue,manufacturer,1,UNS R30605; AMS 5759; AMS 5796,"Co balance, Ni about 20, Cr about 20, W about 15",Co;Ni;Cr;W,"{""Co"": ""balance"", ""Ni"": ""20"", ""Cr"": ""20"", ""W"": ""15""}",Co,Ni;Cr;W,sheet; plate; bar; wire; fabricated hot-section parts,wrought; forming; welding; solution_heat_treat,no,co_wrought_solution_annealed,Solid-solution-strengthened cobalt-base alloy; use conventional fabricated/wrought solution-annealed route logic.,"Haynes highlights conventional fabrication and forming, with good oxidation and sulfidation resistance for prolonged exposures.",Very good oxidation resistance for prolonged exposures up to about 1800F / 980C is highlighted by Haynes.,"Established aerospace gas-turbine parts, bearings and high-temperature static applications.",Older cobalt analogue than 188; high Co/W content penalizes sustainability and supply risk and AM support is not established here.,Keep Co dominance as the family cue; do not let Ni presence recategorize this analogue as nickel-based.,Haynes brochure,https://haynesintl.com/wp-content/uploads/2024/08/25-brochure.pdf
ref_nb1zr,ATI Nb1Zr alloy,Nb-1Zr; NbZr1,Refractory,named_analogue,manufacturer,1,ATI Nb1Zr Alloy,"Nb balance, Zr about 1",Nb;Zr,"{""Nb"": ""balance"", ""Zr"": ""0.8-1.0""}",Nb,Zr,sheet; plate; rod; wire; thermal shields,wrought; forming; welding,no,refractory_nb_wrought_or_lpbf_coated,Use refractory niobium alloy route logic rather than Ni/Co/Ti heat-treatment templates; focus on wrought fabrication and protective-environment handling.,"ATI notes excellent fabricability and ductility, with availability in desired mill product forms.","ATI positions Nb1Zr as a lower-cost refractory option for high-temperature, lower-load applications, with service framing around 1800-2200F.",Load-free thermal shields and other lower-load high-temperature refractory applications.,Less strong than C-103 or FS-85; oxidation/protective-environment treatment remains important.,Use when a low-alloy niobium refractory analogue is appropriate; do not force-match to Hf/Ta/W-rich niobium systems.,ATI datasheet,https://www.atimaterials.com/Products/Documents/datasheets/niobium-hafnium-tantalum-vanadium/niobium/niobium_1zr_alloy_v1.pdf
ref_c103,C-103 niobium alloy,C103; Nb-10Hf-1Ti,Refractory,named_analogue,specialist+am,1,ASTM B652; ASTM B654; ASTM B655,Nb-10Hf-1Ti refractory alloy (niobium base with hafnium and titanium),Nb;Hf;Ti,"{""Nb"": ""balance"", ""Hf"": ""10"", ""Ti"": ""1""}",Nb,Hf;Ti,sheet; rod; wire; powder/AM study context,wrought; welding; LPBF; HIP; coating,yes,refractory_nb_wrought_or_lpbf_coated,"Starter row does not fix a single certified heat-treatment window; Elmet AM paper discusses LPBF parts followed by HIP, coating and further heat treatment to simulate service conditions.",Materion highlights good weldability and product availability in sheet/rod/wire; Elmet shows LPBF feasibility for C103 in an aerospace context.,Elmet notes historic space-propulsion use around operating temperatures near 1300C for thruster-nozzle environments.,Rocket nozzles; satellites; launch vehicles; jet-engine afterburner flap sections; high-temperature aerospace components.,High-temperature oxidizing service typically needs a protective coating such as R512E; HIP/coating can reduce AM strength versus wrought specifications.,Do not treat as a generic Mo- or W-based refractory analogue; keep Nb-Hf-Ti chemistry and coating need explicit in recipe generation.,Materion product page + Elmet AM paper,https://www.materion.com/en/products/performance-materials/high-performance-alloys/niobium-c-103-alloy; https://www.elmettechnologies.com/manufacturing/nb-c103-l-pbf/
ref_fs85,FS-85 niobium alloy,FS-85; Nb-28Ta-10W-1Zr,Refractory,named_analogue,specialist+am,1,FS-85; Nb-28Ta-10W-1Zr,"Nb balance, Ta 28, W 10, Zr 1",Nb;Ta;W;Zr,"{""Nb"": ""balance"", ""Ta"": ""28"", ""W"": ""10"", ""Zr"": ""1""}",Nb,Ta;W;Zr,powder; sheet; rod; propulsion hardware,wrought; LPBF; HIP; coating,yes,refractory_nb_wrought_or_lpbf_coated,Treat as a specialist niobium refractory route with LPBF/HIP/coating options rather than a generic wrought-only alloy.,"Elmet markets FS-85 powder for additive manufacturing and emphasizes high-temperature strength, corrosion resistance and weldability.",Use as an extreme-temperature niobium refractory analogue for propulsion and specialist aerospace hardware rather than mainstream aircraft structure.,Propulsion and high-temperature aerospace hardware requiring stronger niobium-alloy performance than Nb1Zr.,Oxidation/coating needs remain explicit; sustainability and cost burden are high because of Ta and W content.,Do not use as a Mo-based refractory analogue; keep Nb-Ta-W-Zr chemistry and coating/AM specialist handling explicit.,Elmet additive powder page,https://www.elmetpowders.com/additive-manufacturing-powder/fs-85/
ref_tzm,TZM alloy,TZM; titanium-zirconium-molybdenum,Refractory,named_analogue,specialist,1,TZM refractory Mo alloy,"Mo base with about 0.5% Ti, 0.08% Zr and 0.01-0.04% C",Mo;Ti;Zr;C,"{""Mo"": ""balance"", ""Ti"": ""0.5"", ""Zr"": ""0.08"", ""C"": ""0.01-0.04""}",Mo,Ti;Zr;C,rods; plates/sheet; refractory components,powder_metallurgy; wrought_refractory; machining,limited,refractory_mo_pm_or_wrought,Use specialist refractory processing logic rather than generic superalloy heat-treatment windows; treat as a powder-metallurgy / refractory-working analogue in v1.,Plansee positions TZM as stronger and harder than pure molybdenum over a wide temperature range due to fine carbide additions.,High-temperature refractory use; use as a refractory-family anchor rather than as a direct aircraft-certified alloy recipe source.,Refractory high-temperature tooling and hot-zone style anchor; useful as a Mo-Ti-Zr refractory analogue.,Avoid over-claiming aerospace certification or AM readiness from this starter row; oxidation/protective-environment logic needs specialist treatment.,Do not use when Ni/Co-based hot-section fabrication logic is required; this row is for refractory-family matching and specialist route generation.,Plansee alloy page/search-backed specialist reference,https://www.plansee.com/en/materials/molybdenum/alloys.html
